rank,rank_change,app_name,publisher_name,biz_category_sub,value
6,,ROBLOX,Roblox Corporation,어드벤처게임,0.51
7,,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-7.18
8,1.0,Minecraft,Mojang,액션게임,0.33
9,-1.0,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-5.37
10,,Pokémon GO,"Niantic, Inc.",어드벤처게임,0.29
11,,클래시 로얄,Supercell,전략게임,-2.14
12,,클래시 오브 클랜,Supercell,전략게임,-1.4
13,2.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,1.87
14,-1.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-2.07
15,-1.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-4.17
16,2.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,3.16
17,,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.86
18,-2.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,-1.29
19,3.0,LoL+,"Riot Games, Inc",게임커뮤니티,10.81
20,-1.0,캔디크러쉬사가,King,캐주얼게임,0.82
21,-1.0,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,0.2
22,-1.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-5.84
23,1.0,무한의 계단,NFLY STUDIO,아케이드게임,-0.39
24,1.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.25
25,-2.0,AFK 아레나,LilithGames,롤플레잉게임,-4.28
26,,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-5.18
27,2.0,궁수의 전설,Habby,액션게임,9.28
28,0.0,아이러브커피N,NATRIS,시뮬레이션게임,
29,45.0,가디언 테일즈,Kakao Games Corp.,롤플레잉게임,189.58
30,1.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,3.87
1,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,0.12
2,,브롤스타즈,Supercell,액션게임,-1.63
3,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,1.0
4,1.0,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-0.1
5,-1.0,바람의나라: 연,NEXON Company,롤플레잉게임,-15.17
6,,ROBLOX,Roblox Corporation,어드벤처게임,4.15
7,,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-5.94
8,,Minecraft,Mojang,액션게임,5.59
9,1.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,3.01
10,-1.0,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-1.54
11,,클래시 로얄,Supercell,전략게임,0.59
12,,클래시 오브 클랜,Supercell,전략게임,-0.41
13,,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,-1.89
14,,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-0.53
15,3.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,1.95
16,1.0,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-2.21
17,-1.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-3.0
18,2.0,캔디크러쉬사가,King,캐주얼게임,-0.04
19,-4.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-8.24
20,-1.0,LoL+,"Riot Games, Inc",게임커뮤니티,-2.74
21,,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.74
22,4.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,19.11
23,6.0,가디언 테일즈,Kakao Games Corp.,롤플레잉게임,22.83
24,-1.0,무한의 계단,NFLY STUDIO,아케이드게임,6.84
25,-3.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-3.01
26,-2.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.28
27,-2.0,AFK 아레나,LilithGames,롤플레잉게임,-5.64
28,24.0,Among Us,Innersloth LLC,액션게임,111.02
