,Unnamed: 0,week_num,rank,column-1 2,name,company,type
2514,2514,60,15,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2515,2515,60,16,(-),사이퍼즈,㈜넥슨코리아,액션
2516,2516,60,17,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
2517,2517,60,18,(+1),스타크래프트: 브루드 워,블리자드 엔터테인먼트 코리아,RTS
2518,2518,60,19,(-1),패스 오브 엑자일,㈜카카오게임즈,ARPG
2519,2519,60,20,(-),블레이드앤소울,㈜엔씨소프트,MMORPG
2520,2520,59,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2521,2521,59,2,(-),피파온라인4,㈜넥슨코리아,스포츠
2522,2522,59,3,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2523,2523,59,4,(-),아이온,㈜엔씨소프트,MMORPG
2524,2524,59,5,(-),메이플스토리,㈜넥슨코리아,MMORPG
2525,2525,59,6,(+1),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2526,2526,59,7,(-1),서든어택,㈜넥슨코리아,FPS
2527,2527,59,8,(+1),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2528,2528,59,9,(-1),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2529,2529,59,10,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2530,2530,59,11,(-),카트라이더,㈜넥슨코리아,레이싱
2531,2531,59,12,(-),발로란트,라이엇 게임즈,FPS
2532,2532,59,13,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2533,2533,59,14,(-),리니지,㈜엔씨소프트,MMORPG
2534,2534,59,15,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2535,2535,59,16,(-),사이퍼즈,㈜넥슨코리아,액션
2536,2536,59,17,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
2537,2537,59,18,(-),스타크래프트: 브루드 워,블리자드 엔터테인먼트 코리아,RTS
2538,2538,59,19,(+1),블레이드앤소울,㈜엔씨소프트,MMORPG
2539,2539,59,20,(-1),패스 오브 엑자일,㈜카카오게임즈,ARPG
2540,2540,58,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2541,2541,58,2,(-),피파온라인4,㈜넥슨코리아,스포츠
2542,2542,58,3,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2543,2543,58,4,(-),아이온,㈜엔씨소프트,MMORPG
2544,2544,58,5,(-),메이플스토리,㈜넥슨코리아,MMORPG
2545,2545,58,6,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2546,2546,58,7,(-),서든어택,㈜넥슨코리아,FPS
2547,2547,58,8,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2548,2548,58,9,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2549,2549,58,10,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2550,2550,58,11,(-),카트라이더,㈜넥슨코리아,레이싱
2551,2551,58,12,(-),발로란트,라이엇 게임즈,FPS
2552,2552,58,13,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2553,2553,58,14,(-),리니지,㈜엔씨소프트,MMORPG
2554,2554,58,15,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2555,2555,58,16,(-),사이퍼즈,㈜넥슨코리아,액션
2556,2556,58,17,(+1),스타크래프트: 브루드 워,블리자드 엔터테인먼트 코리아,RTS
2557,2557,58,18,(-1),테일즈런너,㈜스마일게이트메가포트,레이싱
2558,2558,58,19,(-),블레이드앤소울,㈜엔씨소프트,MMORPG
2559,2559,58,20,(+4),월드 오브 워크래프트,블리자드 엔터테인먼트 코리아,MMORPG
2560,2560,57,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
